arquivo,classe,WMC,DIT,NOC,RFC,CBO,LCOM
clones/scikit-learn/scikit-learn\sklearn\decomposition\_dict_learning.py,SparseCoder,7,2,0,10,2,20
clones/scikit-learn/scikit-learn\sklearn\decomposition\_dict_learning.py,DictionaryLearning,5,2,0,13,1,7
clones/scikit-learn/scikit-learn\sklearn\decomposition\_dict_learning.py,MiniBatchDictionaryLearning,10,2,0,46,1,24
clones/scikit-learn/scikit-learn\sklearn\decomposition\_factor_analysis.py,FactorAnalysis,9,1,0,40,0,21
clones/scikit-learn/scikit-learn\sklearn\decomposition\_fastica.py,FastICA,8,1,0,39,0,18
clones/scikit-learn/scikit-learn\sklearn\decomposition\_incremental_pca.py,IncrementalPCA,4,1,0,26,0,3
clones/scikit-learn/scikit-learn\sklearn\decomposition\_kernel_pca.py,KernelPCA,10,1,0,40,0,24
clones/scikit-learn/scikit-learn\sklearn\decomposition\_lda.py,LatentDirichletAllocation,15,1,0,55,0,60
clones/scikit-learn/scikit-learn\sklearn\decomposition\_nmf.py,_BaseNMF,8,1,2,21,1,28
clones/scikit-learn/scikit-learn\sklearn\decomposition\_nmf.py,NMF,5,2,0,22,5,0
clones/scikit-learn/scikit-learn\sklearn\decomposition\_nmf.py,MiniBatchNMF,9,2,0,45,5,8
clones/scikit-learn/scikit-learn\sklearn\decomposition\_pca.py,PCA,9,1,0,43,0,21
clones/scikit-learn/scikit-learn\sklearn\decomposition\_sparse_pca.py,_BaseSparsePCA,6,1,2,14,1,15
clones/scikit-learn/scikit-learn\sklearn\decomposition\_sparse_pca.py,SparsePCA,2,2,0,8,1,1
clones/scikit-learn/scikit-learn\sklearn\decomposition\_sparse_pca.py,MiniBatchSparsePCA,2,2,0,10,3,1
clones/scikit-learn/scikit-learn\sklearn\decomposition\_truncated_svd.py,TruncatedSVD,7,1,0,25,0,18
clones/scikit-learn/scikit-learn\sklearn\ensemble\_bagging.py,BaseBagging,8,1,2,38,4,7
clones/scikit-learn/scikit-learn\sklearn\ensemble\_bagging.py,BaggingClassifier,9,2,0,41,4,30
clones/scikit-learn/scikit-learn\sklearn\ensemble\_bagging.py,BaggingRegressor,5,2,0,24,3,7
clones/scikit-learn/scikit-learn\sklearn\ensemble\_base.py,BaseEnsemble,6,1,0,14,1,15
