arquivo,loc,lloc,sloc,comments,multi,blank,average_complexity,maintainability_index
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpr_prior_posterior.py,258,102,129,56,25,48,2.0,69.39436981483196
clones/scikit-learn/scikit-learn\examples\impute\plot_iterative_imputer_variants_comparison.py,153,49,82,17,35,22,0.0,89.63224622883898
clones/scikit-learn/scikit-learn\examples\impute\plot_missing_values.py,308,105,140,73,23,73,1.0,70.89538826837014
clones/scikit-learn/scikit-learn\examples\inspection\plot_causal_interpretation.py,186,51,79,69,14,24,0.0,70.64623487854146
clones/scikit-learn/scikit-learn\examples\inspection\plot_linear_model_coefficient_interpretation.py,757,191,305,325,33,97,0.0,56.046175488118834
clones/scikit-learn/scikit-learn\examples\inspection\plot_partial_dependence.py,564,137,264,224,29,51,0.0,63.568803459930045
clones/scikit-learn/scikit-learn\examples\inspection\plot_permutation_importance.py,242,62,95,96,20,31,0.0,72.78257437021672
clones/scikit-learn/scikit-learn\examples\inspection\plot_permutation_importance_multicollinear.py,181,70,79,56,18,28,1.0,74.53814992900172
clones/scikit-learn/scikit-learn\examples\kernel_approximation\plot_scalable_poly_kernels.py,251,61,113,80,17,42,0.0,72.03179125149232
clones/scikit-learn/scikit-learn\examples\linear_model\plot_ard.py,211,56,93,74,15,29,0.0,71.73437128630084
