arquivo,loc,lloc,sloc,comments,multi,blank,average_complexity,maintainability_index
clones/django/django\django\contrib\gis\db\backends\base\adapter.py,26,14,17,1,3,5,1.5,88.46614044442026
clones/django/django\django\contrib\gis\db\backends\base\features.py,111,64,64,22,0,25,1.1538461538461537,71.23500232478139
clones/django/django\django\contrib\gis\db\backends\base\models.py,140,94,80,5,22,22,1.5294117647058822,68.88390983488384
clones/django/django\django\contrib\gis\db\backends\base\operations.py,210,87,154,15,14,27,1.8235294117647058,60.90703097591275
clones/django/django\django\contrib\gis\db\backends\base\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\gis\db\backends\mysql\base.py,14,10,10,1,0,3,1.0,100.0
clones/django/django\django\contrib\gis\db\backends\mysql\features.py,21,17,17,1,0,3,1.5,100.0
clones/django/django\django\contrib\gis\db\backends\mysql\introspection.py,33,18,18,10,0,5,2.3333333333333335,90.98465388702613
clones/django/django\django\contrib\gis\db\backends\mysql\operations.py,130,66,114,3,0,16,1.6,55.3602007419868
clones/django/django\django\contrib\gis\db\backends\mysql\schema.py,87,52,70,3,0,14,2.3,58.0272056625326
clones/django/django\django\contrib\gis\db\backends\mysql\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\gis\db\backends\oracle\adapter.py,61,37,39,0,11,10,5.0,77.0483896487288
clones/django/django\django\contrib\gis\db\backends\oracle\base.py,14,10,10,1,0,3,1.0,100.0
clones/django/django\django\contrib\gis\db\backends\oracle\features.py,28,17,25,0,0,3,1.5,100.0
clones/django/django\django\contrib\gis\db\backends\oracle\introspection.py,46,24,33,8,0,5,3.0,83.9814968601619
clones/django/django\django\contrib\gis\db\backends\oracle\models.py,64,37,32,3,16,11,1.3333333333333333,89.60744363167682
